,Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face
198,52000000,Bansbari,2.5,3.0,6,2464.2,20.0,Kathmandu,West
199,55000000,Bansbari,2.5,5.0,6,2121.95,13.0,Kathmandu,South East
200,62500000,Bansbari,2.0,3.0,4,3148.7,13.0,Kathmandu,South
201,67500000,Bansbari,2.5,2.0,6,2395.75,13.0,Kathmandu,West
202,50000000,Bansbari,2.5,3.0,4,1711.25,13.0,Kathmandu,West
203,52500000,Bansbari,2.5,5.0,5,2053.5,13.0,Kathmandu,West
204,47500000,Bansbari,2.5,4.0,5,1711.25,13.0,Kathmandu,West
205,28000000,Bansbari,3.0,4.0,2,1711.25,13.0,Kathmandu,South
207,32500000,Basundhara,3.0,3.0,8,1882.375,13.0,Kathmandu,West
208,55000000,Basundhara,3.0,4.0,5,2395.75,13.0,Kathmandu,West
209,42000000,Basundhara,3.0,5.0,6,1540.125,13.0,Kathmandu,West
210,21500000,Basundhara,3.0,3.0,6,1197.875,13.0,Kathmandu,West
211,20000000,Basundhara,3.0,2.0,5,1369.0,13.0,Kathmandu,West
212,31000000,Basundhara,3.0,4.0,6,1369.0,13.0,Kathmandu,West
213,37500000,Basundhara,3.0,3.0,5,1437.45,13.0,Kathmandu,West
214,42000000,Basundhara,3.0,5.0,6,1540.125,13.0,Kathmandu,West
215,65000000,Basundhara,3.0,5.0,7,3080.25,13.0,Kathmandu,West
216,42000000,Basundhara,2.5,5.0,5,1745.475,13.0,Kathmandu,West
217,45000000,Basundhara,3.0,5.0,6,2053.5,13.0,Kathmandu,West
218,43500000,Basundhara,3.0,3.0,6,1711.25,13.0,Kathmandu,West
219,41000000,Basundhara,2.5,4.0,5,1745.475,13.0,Kathmandu,West
220,35000000,Basundhara,3.0,3.0,5,1369.0,13.0,Kathmandu,West
221,45000000,Basundhara,2.5,4.0,4,1711.25,13.0,Kathmandu,West
222,33500000,Basundhara,3.0,4.0,5,1369.0,13.0,Kathmandu,West
224,62500000,Basundhara,2.5,3.0,5,1711.25,13.0,Kathmandu,West
225,39500000,Basundhara,2.5,3.0,5,1711.25,13.0,Kathmandu,West
227,22500000,Basundhara,3.0,5.0,5,1112.3125,14.0,Kathmandu,East
228,22500000,Basundhara,2.0,3.0,4,1112.3125,16.0,Kathmandu,East
229,23000000,Basundhara,2.0,3.0,4,1112.3125,15.0,Kathmandu,South
230,25000000,Basundhara,3.5,4.0,6,1369.0,13.0,Kathmandu,South East
231,25500000,Basundhara,3.0,4.0,7,1369.0,14.0,Kathmandu,East
232,29800000,Basundhara,3.0,5.0,5,1454.5625,16.0,Kathmandu,East
233,30000000,Basundhara,3.0,4.0,4,1369.0,10.0,Kathmandu,South
234,31000000,Basundhara,2.5,3.0,5,1711.25,13.0,Kathmandu,South West
235,32500000,Basundhara,2.5,3.0,6,1882.375,15.0,Kathmandu,South
236,35000000,Basundhara,2.0,1.0,2,2139.0625,12.0,Kathmandu,East
237,35000000,Basundhara,2.5,1.0,2,1882.375,13.0,Kathmandu,East
238,35000000,Basundhara,3.0,7.0,6,1711.25,15.0,Kathmandu,East
239,36000000,Basundhara,3.5,6.0,4,1796.8125,15.0,Kathmandu,South East
240,36500000,Basundhara,2.0,3.0,4,1711.25,15.0,Kathmandu,East
241,39000000,Basundhara,3.0,2.0,5,1711.25,14.0,Kathmandu,South
242,39900000,Basundhara,3.0,6.0,5,2395.75,14.0,Kathmandu,East
243,41000000,Basundhara,3.0,6.0,7,2395.75,20.0,Kathmandu,East
244,42000000,Basundhara,2.5,5.0,6,1437.45,16.0,Kathmandu,South East
245,45000000,Basundhara,3.0,6.0,6,2738.0,15.0,Kathmandu,South West
246,45000000,Basundhara,3.0,6.0,6,2738.0,20.0,Kathmandu,South West
247,49000000,Basundhara,3.0,6.0,6,1967.9375,14.0,Kathmandu,South
248,67000000,Basundhara,2.5,5.0,5,2481.31,13.0,Kathmandu,West
249,67000000,Basundhara,2.5,3.0,3,2429.975,13.0,Kathmandu,West
250,72500000,Basundhara,2.5,6.0,9,2395.75,13.0,Kathmandu,East
251,49500000,Basundhara,2.5,4.0,4,2395.75,13.0,Kathmandu,West
253,35500000,Basundhara,3.0,5.0,5,1369.0,13.0,Kathmandu,West
255,32000000,Battisputali,3.0,3.0,5,1540.12,13.0,Kathmandu,West
256,50000000,Battisputali,2.5,3.0,5,1437.45,13.0,Kathmandu,West
257,60000000,Battisputali,2.5,3.0,5,2772.225,13.0,Kathmandu,West
258,87500000,Battisputali,2.5,4.0,6,2738.0,13.0,Kathmandu,West
259,85000000,Battisputali,3.0,4.0,5,2738.0,13.0,Kathmandu,West
260,33000000,Battisputali,3.5,1.0,6,1540.125,20.0,Kathmandu,West
261,43000000,Battisputali,3.0,6.0,6,1540.125,15.0,Kathmandu,South
262,25000000,other,2.5,5.0,6,1403.225,12.0,Kathmandu,West
263,27000000,other,2.5,3.0,6,1060.975,13.0,Kathmandu,South East
264,28500000,other,2.5,2.0,5,1540.125,12.0,Kathmandu,South
265,30000000,other,3.0,3.0,6,1369.0,12.0,Kathmandu,East
266,25000000,Bhaisepati,3.0,3.0,4,1026.75,13.0,Lalitpur,West
267,15500000,Bhaisepati,3.0,2.0,4,1437.45,13.0,Lalitpur,West
268,36000000,Bhaisepati,2.5,4.0,5,1711.25,13.0,Lalitpur,West
269,32500000,Bhaisepati,2.5,5.0,5,1240.65,13.0,Lalitpur,West
270,36000000,Bhaisepati,2.5,5.0,5,1369.0,13.0,Lalitpur,West
271,60000000,Bhaisepati,3.0,3.0,5,3422.5,13.0,Lalitpur,West
272,75000000,Bhaisepati,2.5,4.0,3,2053.5,13.0,Lalitpur,West
273,19000000,Bhaisepati,3.0,5.0,4,1900.0,15.0,Lalitpur,East
274,21000000,Bhaisepati,2.5,5.0,5,1026.75,12.0,Lalitpur,South East
275,24500000,Bhaisepati,2.5,5.0,4,1219.265625,20.0,Lalitpur,South
276,25000000,Bhaisepati,3.0,4.0,6,1369.0,13.0,Lalitpur,North
277,25000000,Bhaisepati,3.5,5.0,4,1026.75,16.0,Lalitpur,South East
278,26500000,Bhaisepati,2.5,5.0,5,1095.2,16.0,Lalitpur,North West
279,27500000,Bhaisepati,2.5,4.0,5,1369.0,13.0,Lalitpur,South
280,27500000,Bhaisepati,2.5,4.0,3,1369.0,13.0,Lalitpur,West
281,27500000,Bhaisepati,2.0,3.0,5,1475.953125,20.0,Lalitpur,East
282,27500000,Bhaisepati,2.5,5.0,4,1095.2,20.0,Lalitpur,South
283,28000000,Bhaisepati,2.5,4.0,4,1471.675,16.0,Lalitpur,East
284,28500000,Bhaisepati,2.5,4.0,6,1411.78,13.0,Lalitpur,East
285,28500000,Bhaisepati,3.0,4.0,5,1647.078125,13.0,Lalitpur,South East
286,28500000,Bhaisepati,2.0,4.0,4,1133.703125,13.0,Lalitpur,East
287,28500000,Bhaisepati,3.0,5.0,3,1540.125,18.0,Lalitpur,South West
288,29500000,Bhaisepati,2.5,4.0,4,1369.0,20.0,Lalitpur,East
289,29500000,Bhaisepati,2.5,5.0,6,1095.2,20.0,Lalitpur,South East
290,30000000,Bhaisepati,2.0,4.0,5,1026.75,12.0,Lalitpur,West
291,30000000,Bhaisepati,3.0,3.0,4,1283.4375,13.0,Lalitpur,West
292,30000000,Bhaisepati,2.5,4.0,4,1369.0,14.0,Lalitpur,East
293,31000000,Bhaisepati,2.5,4.0,5,1129.425,15.0,Lalitpur,South West
294,31000000,Bhaisepati,2.5,5.0,4,1369.0,18.0,Lalitpur,South East
295,31000000,Bhaisepati,3.0,3.0,4,1369.0,18.0,Lalitpur,South East
296,31500000,Bhaisepati,3.0,4.0,4,1625.6875,12.0,Lalitpur,South
297,32000000,Bhaisepati,2.5,4.0,4,1129.425,16.5,Lalitpur,North East
298,32500000,Bhaisepati,2.5,4.0,4,1129.425,13.0,Lalitpur,South East
299,32500000,Bhaisepati,2.5,4.0,4,1129.425,13.0,Lalitpur,South West
300,32500000,Bhaisepati,3.0,5.0,4,1369.0,20.0,Lalitpur,West
301,33500000,Bhaisepati,2.5,3.0,5,1711.25,13.0,Lalitpur,East
302,33500000,Bhaisepati,2.5,4.0,5,1796.81,14.0,Lalitpur,North East
303,35000000,Bhaisepati,2.0,3.0,3,1095.2,16.0,Lalitpur,North
304,35000000,Bhaisepati,3.0,4.0,5,1411.78,20.0,Lalitpur,South East
305,35000000,Bhaisepati,3.0,4.0,4,1197.875,20.0,Lalitpur,East
306,36000000,Bhaisepati,2.5,7.0,7,1711.25,20.0,Lalitpur,South West
307,37000000,Bhaisepati,2.5,4.0,4,1711.25,16.0,Lalitpur,East
308,37000000,Bhaisepati,2.5,5.0,6,1369.0,16.0,Lalitpur,North West
309,37500000,Bhaisepati,2.5,4.0,4,2224.625,13.0,Lalitpur,North West
310,37500000,Bhaisepati,2.5,6.0,6,1369.0,16.0,Lalitpur,North West
311,37500000,Bhaisepati,3.0,4.0,3,1540.125,18.0,Lalitpur,South
312,38000000,Bhaisepati,2.5,3.0,4,1403.225,10.0,Lalitpur,South East
313,38000000,Bhaisepati,2.5,1.0,4,1403.225,12.0,Lalitpur,North East
314,38000000,Bhaisepati,3.0,4.0,4,1129.425,13.0,Lalitpur,East
315,38000000,Bhaisepati,3.0,4.0,4,1197.875,13.0,Lalitpur,East
316,38000000,Bhaisepati,2.5,4.0,4,1745.475,15.0,Lalitpur,South East
317,38000000,Bhaisepati,2.5,5.0,5,1779.7,18.0,Lalitpur,North East
318,38500000,Bhaisepati,2.0,4.0,3,1437.45,13.5,Lalitpur,South
319,38500000,Bhaisepati,2.5,4.0,4,1060.975,16.0,Lalitpur,East
320,39077000,Bhaisepati,3.0,4.0,4,2909.125,16.0,Lalitpur,South
321,39900000,Bhaisepati,2.5,4.0,4,1711.25,15.0,Lalitpur,East
322,40000000,Bhaisepati,2.5,3.0,3,1369.0,17.0,Lalitpur,North
323,40000000,Bhaisepati,2.5,4.0,6,1437.45,20.0,Lalitpur,South East
324,40000000,Bhaisepati,2.5,4.0,5,1711.25,20.0,Lalitpur,West
325,41000000,Bhaisepati,2.0,5.0,5,1369.0,13.0,Lalitpur,South West
326,41000000,Bhaisepati,2.5,4.0,4,1129.425,20.0,Lalitpur,North
327,42500000,Bhaisepati,3.0,3.0,7,1711.25,20.0,Lalitpur,South
329,44000000,Bhaisepati,2.5,4.0,4,1129.425,20.0,Lalitpur,North
330,44500000,Bhaisepati,2.5,5.0,3,2121.95,17.0,Lalitpur,North West
331,45000000,Bhaisepati,3.0,5.0,4,1711.25,16.0,Kathmandu,South West
332,45000000,Bhaisepati,2.5,4.0,5,1437.45,13.0,Lalitpur,South East
333,45000000,Bhaisepati,2.5,5.0,5,3125.0,14.0,Lalitpur,West
334,45000000,Bhaisepati,2.0,4.0,4,1711.25,16.0,Lalitpur,South
335,45000000,Bhaisepati,2.5,5.0,5,1711.25,18.0,Lalitpur,North East
336,45000000,Bhaisepati,2.5,5.0,4,1437.45,20.0,Lalitpur,South East
337,46500000,Bhaisepati,3.0,4.0,4,1369.0,13.0,Lalitpur,East
338,46500000,Bhaisepati,2.5,4.0,4,1369.0,14.0,Lalitpur,South East
339,47500000,Bhaisepati,2.5,4.0,5,1437.45,13.0,Lalitpur,South East
340,49500000,Bhaisepati,2.5,4.0,4,1369.0,13.0,Lalitpur,South East
341,49500000,Bhaisepati,3.5,8.0,7,1813.925,16.0,Lalitpur,North East
342,50000000,Bhaisepati,2.5,6.0,5,1796.8125,15.0,Lalitpur,North East
343,50000000,Bhaisepati,2.5,5.0,4,2053.5,13.0,Lalitpur,South
344,50000000,Bhaisepati,2.5,3.0,4,1711.25,13.0,Lalitpur,East
345,51000000,Bhaisepati,2.5,4.0,5,1711.25,20.0,Lalitpur,West
346,53000000,Bhaisepati,2.0,4.0,4,1882.375,13.0,Lalitpur,South
347,55000000,Bhaisepati,2.0,4.0,3,1437.45,13.5,Lalitpur,South
348,55000000,Bhaisepati,2.5,5.0,4,1711.25,16.0,Lalitpur,South West
349,55000000,Bhaisepati,2.5,4.0,5,1779.7,16.0,Lalitpur,South East
350,55000000,Bhaisepati,2.5,5.0,4,1711.25,20.0,Lalitpur,South West
351,59500000,Bhaisepati,2.5,5.0,5,2053.5,16.5,Lalitpur,South West
352,60000000,Bhaisepati,2.5,4.0,6,2738.0,12.0,Lalitpur,North
353,62500000,Bhaisepati,2.5,6.0,5,2121.95,13.0,Lalitpur,South West
354,62500000,Bhaisepati,2.5,3.0,3,1813.925,16.0,Lalitpur,South West
355,69500000,Bhaisepati,2.5,3.0,6,2121.95,20.0,Lalitpur,South East
356,70000000,Bhaisepati,3.5,5.0,4,2053.5,13.0,Lalitpur,West
357,75000000,Bhaisepati,2.5,5.0,6,2121.95,20.0,Lalitpur,South East
358,78000000,Bhaisepati,2.5,5.0,4,2053.5,13.0,Lalitpur,North East
359,38000000,Bhaisepati,3.5,4.0,4,1095.2,13.0,Lalitpur,West
360,40000000,Bhaisepati,2.5,4.0,5,1711.25,13.0,Lalitpur,West
361,50000000,Bhaisepati,2.5,3.0,5,1796.8125,13.0,Lalitpur,West
362,58000000,Bhaisepati,3.5,4.0,5,3251.375,13.0,Lalitpur,West
363,25000000,Bhaisepati,2.5,5.0,4,1026.75,13.0,Lalitpur,West
364,87500000,Bhaisepati,2.5,4.0,4,2156.175,13.0,Lalitpur,West
